funcion,n,tiempo
sumar_tupla,100000,0.01499
sumar_objeto,100000,0.08782
sumar_usando_yield,100000,0.01147
sumar_conjunto,100000,0.01204
sumar_valores_diccionario,100000,0.02392
sumar_numpy_array,100000,0.00100
sumar_pandas_series,100000,0.00100
sumar_lista,1000000,0.19539
sumar_tupla,1000000,0.21400
sumar_objeto,1000000,1.53467
sumar_usando_yield,1000000,0.21530
sumar_conjunto,1000000,0.15082
sumar_valores_diccionario,1000000,0.27634
sumar_numpy_array,1000000,0.00502
sumar_pandas_series,1000000,0.00802
sumar_lista,5000000,1.09694
sumar_tupla,5000000,1.28340
sumar_objeto,5000000,4.95531
sumar_usando_yield,5000000,0.32244
sumar_conjunto,5000000,0.33828
sumar_valores_diccionario,5000000,0.46797
